timestamp,query,type
2015-08-16 22:35:26.191167,139.1.168.192.in-addr.arpa,QUERY
2015-08-16 22:35:26.242994,139.1.168.192.in-addr.arpa,QUERY
2015-08-16 22:35:26.243738,255.255.255.255.in-addr.arpa,QUERY
2015-08-16 22:35:26.278397,255.255.255.255.in-addr.arpa,QUERY
2015-08-16 22:35:26.279964,255.1.168.192.in-addr.arpa,QUERY
2015-08-16 22:35:26.289703,255.1.168.192.in-addr.arpa,QUERY
2015-08-16 22:35:26.715319,253.12.253.17.in-addr.arpa,QUERY
2015-08-16 22:35:26.824127,253.12.253.17.in-addr.arpa,QUERY
2015-08-16 22:35:26.830492,1.1.168.192.in-addr.arpa,QUERY
2015-08-16 22:35:26.831791,1.1.168.192.in-addr.arpa,QUERY
2015-08-16 22:35:26.838964,189.204.194.173.in-addr.arpa,QUERY
2015-08-16 22:35:26.853438,189.204.194.173.in-addr.arpa,QUERY
2015-08-16 22:35:27.905944,clients6.google.com,QUERY
2015-08-16 22:35:27.931170,clients6.google.com,QUERY
