timestamp,src_ip,dst_ip,protocol
2015-08-16 22:35:25.701607,192.168.1.139,255.255.255.255,UDP
2015-08-16 22:35:25.701855,192.168.1.139,192.168.1.255,UDP
2015-08-16 22:35:25.701568,192.168.1.139,255.255.255.255,UDP
2015-08-16 22:35:25.701822,192.168.1.139,192.168.1.255,UDP
2015-08-16 22:35:26.191167,192.168.1.139,192.168.1.1,UDP
2015-08-16 22:35:26.191168,192.168.1.139,17.253.12.253,UDP
2015-08-16 22:35:26.242994,192.168.1.1,192.168.1.139,UDP
2015-08-16 22:35:26.243738,192.168.1.139,192.168.1.1,UDP
2015-08-16 22:35:26.278397,192.168.1.1,192.168.1.139,UDP
2015-08-16 22:35:26.279964,192.168.1.139,192.168.1.1,UDP
2015-08-16 22:35:26.289699,17.253.12.253,192.168.1.139,UDP
2015-08-16 22:35:26.289703,192.168.1.1,192.168.1.139,UDP
2015-08-16 22:35:26.473384,173.194.204.189,192.168.1.139,UDP
2015-08-16 22:35:26.715319,192.168.1.139,192.168.1.1,UDP
2015-08-16 22:35:26.727944,173.194.204.189,192.168.1.139,UDP
2015-08-16 22:35:26.728143,192.168.1.139,173.194.204.189,UDP
2015-08-16 22:35:26.824127,192.168.1.1,192.168.1.139,UDP
2015-08-16 22:35:26.830492,192.168.1.139,192.168.1.1,UDP
2015-08-16 22:35:26.831791,192.168.1.1,192.168.1.139,UDP
2015-08-16 22:35:26.838964,192.168.1.139,192.168.1.1,UDP
2015-08-16 22:35:26.853438,192.168.1.1,192.168.1.139,UDP
2015-08-16 22:35:27.905944,192.168.1.139,192.168.1.1,UDP
2015-08-16 22:35:27.931170,192.168.1.1,192.168.1.139,UDP
2015-08-16 22:35:27.931522,192.168.1.139,74.125.228.227,TCP
2015-08-16 22:35:27.957891,74.125.228.227,192.168.1.139,TCP
2015-08-16 22:35:27.957953,192.168.1.139,74.125.228.227,TCP
2015-08-16 22:35:27.958125,192.168.1.139,74.125.228.227,TCP
2015-08-16 22:35:27.983728,74.125.228.227,192.168.1.139,TCP
2015-08-16 22:35:27.984989,74.125.228.227,192.168.1.139,TCP
2015-08-16 22:35:27.985044,192.168.1.139,74.125.228.227,TCP
2015-08-16 22:35:27.985227,192.168.1.139,74.125.228.227,TCP
2015-08-16 22:35:27.987070,192.168.1.139,74.125.228.227,TCP
2015-08-16 22:35:27.987071,192.168.1.139,74.125.228.227,TCP
2015-08-16 22:35:27.987072,192.168.1.139,74.125.228.227,TCP
2015-08-16 22:35:27.987288,192.168.1.139,74.125.228.227,TCP
2015-08-16 22:35:28.031830,74.125.228.227,192.168.1.139,TCP
2015-08-16 22:35:28.032830,74.125.228.227,192.168.1.139,TCP
2015-08-16 22:35:28.032835,74.125.228.227,192.168.1.139,TCP
2015-08-16 22:35:28.032836,74.125.228.227,192.168.1.139,TCP
2015-08-16 22:35:28.032923,192.168.1.139,74.125.228.227,TCP
2015-08-16 22:35:28.032923,192.168.1.139,74.125.228.227,TCP
2015-08-16 22:35:28.032924,192.168.1.139,74.125.228.227,TCP
2015-08-16 22:35:28.033118,192.168.1.139,74.125.228.227,TCP
2015-08-16 22:35:28.034353,74.125.228.227,192.168.1.139,TCP
2015-08-16 22:35:28.034356,74.125.228.227,192.168.1.139,TCP
2015-08-16 22:35:28.034357,74.125.228.227,192.168.1.139,TCP
2015-08-16 22:35:28.034416,192.168.1.139,74.125.228.227,TCP
2015-08-16 22:35:28.034416,192.168.1.139,74.125.228.227,TCP
2015-08-16 22:35:28.034428,192.168.1.139,74.125.228.227,TCP
2015-08-16 22:35:28.035548,192.168.1.139,74.125.228.227,TCP
2015-08-16 22:35:28.038904,192.168.1.139,74.125.228.227,UDP
2015-08-16 22:35:28.039010,192.168.1.139,74.125.228.227,TCP
2015-08-16 22:35:28.065059,74.125.228.227,192.168.1.139,TCP
2015-08-16 22:35:28.289972,74.125.228.227,192.168.1.139,TCP
2015-08-16 22:35:28.290024,192.168.1.139,74.125.228.227,TCP
2015-08-16 22:35:28.290414,192.168.1.139,74.125.228.227,TCP
2015-08-16 22:35:28.290466,192.168.1.139,74.125.228.227,UDP
2015-08-16 22:35:28.290642,192.168.1.139,173.194.121.54,UDP
2015-08-16 22:35:28.291478,74.125.228.227,192.168.1.139,UDP
2015-08-16 22:35:28.291772,74.125.228.227,192.168.1.139,UDP
2015-08-16 22:35:28.291922,192.168.1.139,74.125.228.227,UDP
2015-08-16 22:35:28.292286,192.168.1.139,74.125.228.227,UDP
2015-08-16 22:35:28.292344,192.168.1.139,74.125.228.227,UDP
2015-08-16 22:35:28.292345,192.168.1.139,74.125.228.227,UDP
